ID,Question Number,Date,Topic,Tags,Question,Correct Answer,Explanation,Option 1,Option 2,Option 3,Option 4
13,1,2023-01-01 07:11:04+00:00,Thorax,,Which lung has lingula?,Left lung,"Right lung: 3 lobes, oblique & horizontal fissures
Left lung: 2 lobes, oblique fissure, cardiac notch, lingula",Right lung,Left lung,,
21,2,2023-01-02 01:08:30+00:00,Upper Limbs,,"This group of muscles is innervated by the nerve, which if injured can lead to winging of the scapula.",Serratus anterior,The most common etiology of a winged scapula is usually due to damage or impaired innervation to the serratus anterior muscle. The nerve that innervates this muscle is the long thoracic nerve.,Lattisimus dorsi,Trapezius,Serratus anterior,Pectoralis major
23,3,2023-01-02 01:22:49+00:00,Lower Limbs,,Where should intramuscular injection be performed on the buttocks (dorsogluteal region)?,Upper outer quadrant,IM injection outside of upper quadrant of buttock is a major cause of sciatic nerve injection injury with the nerve being more prone to damage when the injection site is more medial and/or inferior.,Upper outer quadrant,Upper inner quadrant,Lower outer quadrant,Lower inner quadrant
27,4,2023-01-02 01:57:15+00:00,Nucleic Acids,,Severe combined immunodeficiency (SCID) is caused by a problem in which of the following,Purine catabolism,Adenosine deaminase (ADA) deficiency is an inherited disorder that damages the immune system and causes severe combined immunodeficiency (SCID).,Purine anabolism,Purine catabolism,Pyrimidine anabolism,Pyrimidine catabolism
28,,2023-01-02 02:04:17+00:00,,,3-ketoacyl-coa thiolase and HMG-CoA lyase deficiency can affect the degradation of what AA?,Leucine,Deficiency 3-ketoacyl-coa thiolase and HMG-CoA lyase can affect the degradation of LEUCINE,Phenylalanine,Leucine,Alanine,Tryptophan
31,6,2023-01-02 02:11:01+00:00,Abdomen,,The efferent lymphatic vessels from the left gastric lymph nodes mainly drain into:,Celiac lymph nodes,,Inguinal nodes,Aortic nodes,Celiac lymph nodes,Lumbar nodes
32,,2023-01-02 02:14:58+00:00,,,What nerve is damaged when one is unable to climb?,Thoracodorsal nerve,,Spinal accessory nerve,Thoracodorsal nerve,Long thoracic nerve,Median nerve
33,,2023-01-02 02:17:05+00:00,,,This nerve innervates the anterior compartment of the arm.,Musculocutaneous nerve,,Radial nerve,Tibial nerve,Spinal accessory nerve,Musculocutaneous nerve
34,,2023-01-02 02:20:14+00:00,,,Pes anserinus consists of the following muscles except:,Semimembranosus,,Semimembranosus,Gracilis,Sartorius,Semitendinosus
35,,2023-01-02 02:28:00+00:00,,,Which of the ff. is innervated by the external branch of the superior laryngeal nerve?,Cricothyroid muscles,,Cricothyroid muscles,Thyrohyoid muscles,Posterior cricoarytenoid muscles,Oblique arytenoid muscle
